date,season,teamA,teamB,teamA_home,teamA_score,teamB_score,teamA_moneyLine,teamB_moneyLine,total,spread,secondHalfTotal,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,home_team,away_team,teamA_PTS,teamB_PTS,teamA_FG_PCT,teamB_FG_PCT,teamA_FT_PCT,teamB_FT_PCT,teamA_FG3_PCT,teamB_FG3_PCT,teamA_AST,teamB_AST,teamA_REB,teamB_REB
2016-10-28,2017,detroit,orlando,1,108,82,-180.0,160.0,195.0,4.0,96.0,2016-10-28,21600020.0,Final,1610612765.0,1610612753.0,2016.0,1610612765.0,108.0,0.505,0.833,0.368,27.0,53.0,1610612753.0,82.0,0.347,0.667,0.308,20.0,44.0,1.0,detroit,orlando,108.0,82.0,0.505,0.347,0.833,0.667,0.368,0.308,27.0,20.0,53.0,44.0
2016-10-28,2017,oklahoma city,phoenix,1,113,110,-345.0,280.0,209.0,7.5,107.0,2016-10-28,21600021.0,Final,1610612760.0,1610612756.0,2016.0,1610612760.0,113.0,0.417,0.737,0.238,13.0,57.0,1610612756.0,110.0,0.447,0.6559999999999999,0.179,15.0,44.0,1.0,oklahoma city,phoenix,113.0,110.0,0.417,0.447,0.737,0.6559999999999999,0.238,0.179,13.0,15.0,57.0,44.0
2016-10-29,2017,cleveland,orlando,1,105,99,-800.0,500.0,204.5,11.0,101.0,2016-10-29,21600029.0,Final,1610612739.0,1610612753.0,2016.0,1610612739.0,105.0,0.409,0.733,0.297,17.0,40.0,1610612753.0,99.0,0.452,0.5770000000000001,0.286,21.0,50.0,1.0,cleveland,orlando,105.0,99.0,0.409,0.452,0.733,0.5770000000000001,0.297,0.286,17.0,21.0,40.0,50.0
2016-10-29,2017,brooklyn,milwaukee,0,108,110,280.0,-360.0,205.0,-8.0,104.0,2016-10-29,21600031.0,Final,1610612749.0,1610612751.0,2016.0,1610612749.0,110.0,0.466,0.833,0.364,25.0,44.0,1610612751.0,108.0,0.44,0.821,0.324,23.0,45.0,1.0,milwaukee,brooklyn,108.0,110.0,0.44,0.466,0.821,0.833,0.324,0.364,23.0,25.0,45.0,44.0
2016-10-29,2017,memphis,new york,0,104,111,135.0,-155.0,198.5,-3.0,100.0,2016-10-29,21600028.0,Final,1610612752.0,1610612763.0,2016.0,1610612752.0,111.0,0.526,0.6409999999999999,0.286,24.0,41.0,1610612763.0,104.0,0.43,0.8079999999999999,0.36,19.0,40.0,1.0,new york,memphis,104.0,111.0,0.43,0.526,0.8079999999999999,0.6409999999999999,0.36,0.286,19.0,24.0,40.0,41.0
2016-10-29,2017,minnesota,sacramento,0,103,106,-110.0,-110.0,203.0,0.0,101.0,2016-10-29,21600034.0,Final,1610612758.0,1610612750.0,2016.0,1610612758.0,106.0,0.4589999999999999,0.76,0.346,24.0,31.0,1610612750.0,103.0,0.529,0.71,0.318,19.0,36.0,1.0,sacramento,minnesota,103.0,106.0,0.529,0.4589999999999999,0.71,0.76,0.318,0.346,19.0,24.0,36.0,31.0
2016-10-29,2017,new orleans,san antonio,0,79,98,900.0,-1900.0,204.0,-14.0,100.0,2016-10-29,21600032.0,Final,1610612759.0,1610612740.0,2016.0,1610612759.0,98.0,0.422,0.7829999999999999,0.417,21.0,50.0,1610612740.0,79.0,0.3720000000000001,0.733,0.182,14.0,45.0,1.0,san antonio,new orleans,79.0,98.0,0.3720000000000001,0.422,0.733,0.7829999999999999,0.182,0.417,14.0,21.0,45.0,50.0
2016-10-29,2017,chicago,indiana,1,118,101,-165.0,145.0,209.5,3.5,103.5,2016-10-29,21600030.0,Final,1610612741.0,1610612754.0,2016.0,1610612741.0,118.0,0.523,0.905,0.429,34.0,47.0,1610612754.0,101.0,0.489,0.889,0.389,34.0,33.0,1.0,chicago,indiana,118.0,101.0,0.523,0.489,0.905,0.889,0.429,0.389,34.0,34.0,47.0,33.0
2016-10-29,2017,denver,portland,1,113,115,105.0,-125.0,211.5,-1.0,104.5,2016-10-29,21600033.0,Final,1610612743.0,1610612757.0,2016.0,1610612743.0,113.0,0.38,0.795,0.261,19.0,61.0,1610612757.0,115.0,0.4589999999999999,0.7140000000000001,0.313,23.0,45.0,0.0,denver,portland,113.0,115.0,0.38,0.4589999999999999,0.795,0.7140000000000001,0.261,0.313,19.0,23.0,61.0,45.0
2016-10-29,2017,boston,charlotte,0,104,98,-145.0,125.0,202.5,2.5,103.0,2016-10-29,21600027.0,Final,1610612766.0,1610612738.0,2016.0,1610612766.0,98.0,0.405,0.758,0.281,22.0,38.0,1610612738.0,104.0,0.481,0.647,0.484,25.0,42.0,0.0,charlotte,boston,104.0,98.0,0.481,0.405,0.647,0.758,0.484,0.281,25.0,22.0,42.0,38.0
