date,season,teamA,teamB,teamA_home,teamA_score,teamB_score,teamA_moneyLine,teamB_moneyLine,total,spread,secondHalfTotal,teamA_nick,teamB_nick,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,home_team_name,away_team_name
2007-11-14,2008,new orleans,philadelphia,1,95,76,-450.0,370.0,187.5,8.5,93.0,pelicans,76ers,2007-11-14,20700111,Final,1610612740,1610612755,2007,1610612740,95.0,0.479,0.636,0.55,20.0,35.0,1610612755,76.0,0.4,0.706,0.364,15.0,41.0,1,pelicans,76ers
2007-11-14,2008,toronto,utah,1,88,92,-110.0,-110.0,204.0,0.0,104.5,raptors,jazz,2007-11-14,20700104,Final,1610612761,1610612762,2007,1610612761,88.0,0.385,0.917,0.318,19.0,50.0,1610612762,92.0,0.429,0.7929999999999999,0.273,23.0,46.0,0,raptors,jazz
2007-11-15,2008,dallas,san antonio,1,105,92,-125.0,105.0,189.5,1.5,94.0,mavericks,spurs,2007-11-15,20700117,Final,1610612742,1610612759,2007,1610612742,105.0,0.521,0.733,0.4379999999999999,20.0,41.0,1610612759,92.0,0.4,0.7859999999999999,0.4,17.0,38.0,1,mavericks,spurs
2007-11-16,2008,boston,miami,1,92,91,-650.0,525.0,183.0,10.0,93.0,celtics,heat,2007-11-16,20700121,Final,1610612738,1610612748,2007,1610612738,92.0,0.493,0.944,0.357,29.0,40.0,1610612748,91.0,0.473,0.5710000000000001,0.278,18.0,33.0,1,celtics,heat
2007-11-16,2008,cleveland,utah,1,99,94,-125.0,105.0,199.5,1.5,103.0,cavaliers,jazz,2007-11-16,20700124,Final,1610612739,1610612762,2007,1610612739,99.0,0.417,0.8390000000000001,0.214,21.0,48.0,1610612762,94.0,0.405,0.846,0.3329999999999999,23.0,44.0,1,cavaliers,jazz
2007-11-16,2008,memphis,new orleans,1,118,120,140.0,-160.0,204.5,-3.0,99.5,grizzlies,pelicans,2007-11-16,20700125,Final,1610612763,1610612740,2007,1610612763,118.0,0.505,0.688,0.625,20.0,38.0,1610612740,120.0,0.5,0.826,0.45,23.0,49.0,0,grizzlies,pelicans
2007-11-16,2008,minnesota,washington,1,89,105,150.0,-170.0,191.5,-3.5,99.5,timberwolves,wizards,2007-11-16,20700127,Final,1610612750,1610612764,2007,1610612750,89.0,0.419,0.741,0.389,13.0,36.0,1610612764,105.0,0.519,0.731,0.375,20.0,40.0,0,timberwolves,wizards
2007-11-16,2008,philadelphia,portland,1,92,88,-150.0,130.0,184.0,3.0,93.0,76ers,trail blazers,2007-11-16,20700120,Final,1610612755,1610612757,2007,1610612755,92.0,0.507,0.789,0.375,19.0,43.0,1610612757,88.0,0.451,0.8640000000000001,0.313,20.0,30.0,1,76ers,trail blazers
2007-11-17,2008,dallas,memphis,1,108,105,-1500.0,950.0,213.0,14.0,105.0,mavericks,grizzlies,2007-11-17,20700138,Final,1610612742,1610612763,2007,1610612742,108.0,0.476,0.7,0.25,19.0,46.0,1610612763,105.0,0.4639999999999999,0.87,0.368,22.0,40.0,1,mavericks,grizzlies
2007-11-17,2008,denver,new york,1,115,83,-1300.0,850.0,213.5,14.0,102.5,nuggets,knicks,2007-11-17,20700139,Final,1610612743,1610612752,2007,1610612743,115.0,0.489,0.581,0.423,32.0,51.0,1610612752,83.0,0.381,0.7140000000000001,0.308,20.0,46.0,1,nuggets,knicks
2007-11-17,2008,houston,phoenix,1,105,115,210.0,-250.0,196.0,-5.5,98.0,rockets,suns,2007-11-17,20700137,Final,1610612745,1610612756,2007,1610612745,105.0,0.3929999999999999,0.6,0.429,22.0,40.0,1610612756,115.0,0.623,0.655,0.526,28.0,48.0,0,rockets,suns
